open_time,Readble_Date,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,
1.56E+12,09/07/2019,12238.6,12794.73,12068,12543.41,78442.13034,1.56E+12,975986802,660273,40993.91197,508388352.4,0
1.56E+12,10/07/2019,12548.51,13147.08,11569,12108.37,109246.045,1.56E+12,1369749940,899391,46964.76091,588798251.1,0
1.56E+12,11/07/2019,12108.11,12111.73,11000,11342.89,87506.46106,1.56E+12,1007356802,760057,43714.15617,503407388.7,0
1.56E+12,12/07/2019,11342.88,11885,11073,11757.22,56321.85828,1.56E+12,649824820.8,537561,30291.11936,349517968.9,0
1.56E+12,13/07/2019,11757.22,11799.98,10830,11355.76,54245.59455,1.56E+12,614050008,510305,26460.05824,299649536.4,0
1.56E+12,14/07/2019,11355.78,11452,10103,10174.18,72517.57924,1.56E+12,777646151.6,649043,35853.69216,384643236.2,0
1.56E+12,15/07/2019,10174.18,11100,9860,10838.72,81922.42633,1.56E+12,851028723.7,732206,41714.18966,433767828.5,0
1.56E+12,16/07/2019,10833.78,11028,9350.01,9439.59,97219.44341,1.56E+12,982462166.7,796646,47295.94405,478852520,0
1.56E+12,17/07/2019,9430.17,9957,9060,9667.92,84942.67272,1.56E+12,809555508.3,757742,43073.11515,410754257.7,0
1.56E+12,18/07/2019,9668.86,10788,9252,10627.16,80283.31025,1.56E+12,807822745.2,734821,42103.34475,423743857.8,0
1.56E+12,19/07/2019,10628.64,10769.71,10121.84,10504.29,56546.93213,1.56E+12,589931612.3,567735,29070.35747,303508985.6,0
1.56E+12,20/07/2019,10505.78,11068.99,10350,10740.23,47331.89985,1.56E+12,505569016.4,461660,25003.62155,267188169.9,0
1.56E+12,21/07/2019,10740.27,10817.9,10288,10589.45,38834.28794,1.56E+12,409661486,395452,20345.52738,214610701.2,0
1.56E+12,22/07/2019,10590.15,10683.16,10100,10340.31,40467.95484,1.56E+12,421016379.4,389565,19335.4119,201324461.2,0
1.56E+12,23/07/2019,10343.08,10343.97,9822,9864.91,47624.37071,1.56E+12,478441909.4,448147,24082.30913,241965620.2,0
1.56E+12,24/07/2019,9864.78,9937,9525,9763.28,43475.38038,1.56E+12,422534162.1,424762,21963.77354,213526693.4,0
1.56E+12,25/07/2019,9763.4,10175,9720.03,9879.87,37873.35473,1.56E+12,378938450.1,368176,19308.01143,193241603,0
1.56E+12,26/07/2019,9882.15,9889.98,9637,9824,27167.46322,1.56E+12,265108103.1,299935,14006.62943,136688127,0
1.56E+12,27/07/2019,9824,10188.66,9333,9476.52,43809.7783,1.56E+12,424932725,401418,21428.05232,208090741.1,0
1.56E+12,28/07/2019,9478.92,9594.99,9165,9541.54,29401.02294,1.56E+12,278537286.1,271327,17116.43313,162267204.2,0
1.56E+12,29/07/2019,9541.54,9729,9395,9507.64,29021.93741,1.56E+12,277497756.8,294468,16075.16697,153791418.1,0
1.56E+12,30/07/2019,9509.07,9714.28,9402,9574.21,32536.36883,1.56E+12,310867928.3,283961,17211.00965,164621319,0
1.56E+12,31/07/2019,9575,10109.8,9555,10080.53,39515.35456,1.56E+12,389690761.4,364212,21235.6096,209506872.5,0
1.56E+12,01/08/2019,10080.53,10467.86,9863.46,10374.99,41727.63703,1.56E+12,422156523.7,378062,22244.91947,225207082.4,0
1.56E+12,02/08/2019,10375,10670,10281.35,10523.75,42990.44422,1.56E+12,450323284.2,431322,22206.13509,232638457.6,0
1.56E+12,03/08/2019,10523.75,10904.77,10497.93,10816.86,33802.31882,1.56E+12,363852799.9,348893,18132.52971,195125820.5,0
1.56E+12,04/08/2019,10816.86,11040,10552,10929.23,39924.74514,1.56E+12,431793873.4,353721,22066.36826,238959952.2,0
1.56E+12,05/08/2019,10929.99,11937.52,10927.8,11828.8,65153.67371,1.57E+12,757976547.2,622610,33530.07066,389969213.4,0
1.57E+12,06/08/2019,11830,12330.7,11226.7,11481.69,76705.38988,1.57E+12,904119081.6,625827,37522.11697,442937542,0
1.57E+12,07/08/2019,11481.69,12141.17,11382.84,11975.03,69173.39035,1.57E+12,814597979.1,592916,36357.22592,428496665.6,0
1.57E+12,08/08/2019,11975.04,12060,11521,11999.77,51207.25717,1.57E+12,604389131.1,473584,27463.20076,324785966.1,0
1.57E+12,09/08/2019,11994.17,12045.68,11700,11879.99,39427.15259,1.57E+12,467011047.9,410902,20074.42191,238009297.6,0
1.57E+12,10/08/2019,11879.98,11985,11270,11309.31,42633.08705,1.57E+12,492217964.5,399237,17111.12508,197997879.1,0
1.57E+12,11/08/2019,11309.24,11600,11112.11,11549.97,26772.90691,1.57E+12,304862403.4,306234,15007.4382,171032611,0
1.57E+12,12/08/2019,11539.08,11577.89,11235.32,11396.08,17568.22708,1.57E+12,200325471.6,255966,9200.430879,104948602.2,0
1.57E+12,13/08/2019,11398.35,11456.16,10788.45,10892.71,33234.72968,1.57E+12,368994475.5,337834,13483.5587,149693332.1,0
1.57E+12,14/08/2019,10893.36,10897.48,9928.1,10050.37,54451.8475,1.57E+12,567724729.1,534507,26080.63138,271971667.6,0
1.57E+12,15/08/2019,10055.16,10460,9911,10293.93,38174.45112,1.57E+12,387705855.1,373368,19588.08292,199059445.6,0
1.57E+12,16/08/2019,10296.77,10536.03,9750,10331.54,51758.14292,1.57E+12,527258446.4,504740,25818.03154,263301246.9,0
1.57E+12,17/08/2019,10331.15,10465.14,10000,10216.02,29000.5812,1.57E+12,297776329,332795,14672.94974,150792759.3,0
1.57E+12,18/08/2019,10216.05,10500,10080,10306.78,24085.39517,1.57E+12,248508872.5,265705,12961.47856,133774771.7,0
1.57E+12,19/08/2019,10306.17,10930,10258.6,10915.54,37243.31922,1.57E+12,396233441,337022,20591.43657,219085855.3,0
1.57E+12,20/08/2019,10914.73,10949.96,10560,10760.51,32298.92168,1.57E+12,346664453.1,305065,16017.54473,172082522.2,0
1.57E+12,21/08/2019,10760.51,10804.13,9858,10142.57,47355.71928,1.57E+12,482889274.5,458814,21565.83056,219533134.9,0
1.57E+12,22/08/2019,10140.82,10242,9762,10099.88,34059.64274,1.57E+12,341371442.9,401148,17921.9543,179746967.2,0
1.57E+12,23/08/2019,10099.9,10445,10019.79,10389.55,27550.33617,1.57E+12,282732431.8,326866,14798.81634,151926638.1,0
1.57E+12,24/08/2019,10388.16,10419.42,9890,10134.35,27692.45684,1.57E+12,279962133.6,313227,13623.56484,137726211.4,0
1.57E+12,25/08/2019,10134.61,10333,9906.97,10142.69,26271.6574,1.57E+12,265132761.3,289956,12885.71774,130202473.1,0
1.57E+12,26/08/2019,10142.69,10604,10137.93,10372.25,41687.5116,1.57E+12,432249835.5,405316,22666.59545,235202578.4,0
1.57E+12,27/08/2019,10373.6,10391.08,10051.08,10185.05,28402.77538,1.57E+12,289340681.1,292888,13852.44214,141207845,0
1.57E+12,28/08/2019,10185.69,10299,9601.01,9721,42110.55538,1.57E+12,420034883,381293,19430.82257,194055407.2,0
1.57E+12,29/08/2019,9721,9724,9320,9498.44,35532.69491,1.57E+12,337838761.6,343887,17536.26845,166811264.1,0
1.57E+12,30/08/2019,9499.01,9696,9350.41,9584.54,26834.3181,1.57E+12,255854874.5,259270,14227.87285,135696420.4,0
1.57E+12,31/08/2019,9582.76,9684.51,9420.75,9587.47,17130.29007,1.57E+12,164116756.5,199188,8558.148214,82010834.34,0
1.57E+12,01/09/2019,9588.74,9830,9520,9724.98,19545.40484,1.57E+12,188513289.1,191324,11545.6106,111464034.4,0
1.57E+12,02/09/2019,9723.59,10450,9712.5,10340,44740.24809,1.57E+12,448462178.6,354155,25140.29613,251933840.3,0
1.57E+12,03/09/2019,10340,10773,10272,10615.28,47998.37678,1.57E+12,505617667.4,416076,24734.30326,260488377.9,0
1.57E+12,04/09/2019,10611.85,10799,10369.89,10567.02,43943.88903,1.57E+12,463526509.3,383457,22244.06766,234731325.6,0
1.57E+12,05/09/2019,10565.92,10900,10450,10564.49,33970.96064,1.57E+12,358861340.8,309846,16535.14781,174901090.5,0
1.57E+12,06/09/2019,10563.13,10905.87,10150,10298.73,58799.64096,1.57E+12,623662984.4,455334,29952.94443,318275724.1,0
1.57E+12,07/09/2019,10298.71,10558,10288.57,10455.88,27637.87739,1.57E+12,287851131.2,272011,14673.48922,152825899,0
1.57E+12,08/09/2019,10455.9,10592.5,10208,10381.18,23984.67202,1.57E+12,249900964.4,237752,10588.59246,110370036.7,0
1.57E+12,09/09/2019,10381.24,10480,10068.5,10303.12,39835.72761,1.57E+12,409724831.9,330459,18729.47268,192814736.8,0
1.57E+12,10/09/2019,10302.58,10384.99,9953,10098.15,28915.41223,1.57E+12,294323839.5,286763,13432.25682,136876441.4,0
1.57E+12,11/09/2019,10098.19,10293,9880,10158.33,31953.82456,1.57E+12,321637085.5,309120,16583.8131,167086058.2,0
1.57E+12,12/09/2019,10158.75,10448.81,10040,10415.01,34511.16276,1.57E+12,353390091,317881,18550.8532,190066356.9,0
1.57E+12,13/09/2019,10415.01,10439,10153,10342.06,30280.33978,1.57E+12,311632094.3,304947,16763.85466,172561765.7,0
1.57E+12,14/09/2019,10344.13,10419.99,10222.33,10335.02,23621.53352,1.57E+12,244063007.1,253929,13495.98669,139491411.3,0
1.57E+12,15/09/2019,10332.81,10360,10252.15,10302.01,18047.65401,1.57E+12,185853330.4,194733,8221.803055,84690636.89,0
1.57E+12,16/09/2019,10303.34,10355,10078,10251.31,28971.40166,1.57E+12,296325130.2,274368,13385.30225,137008707.9,0
1.57E+12,17/09/2019,10249.68,10275,10128.01,10187.82,22914.32456,1.57E+12,233944812.6,287483,11195.43067,114314296.2,0
1.57E+12,18/09/2019,10187.48,10258.02,10100,10156.99,24250.2493,1.57E+12,247024351.6,299466,11753.10911,119777298.9,0
1.57E+12,19/09/2019,10156.41,10325,9653,10244.29,44826.28258,1.57E+12,447676493,429727,22623.28776,226404409.7,0
1.57E+12,20/09/2019,10243.7,10281,10061.39,10168.59,25088.49107,1.57E+12,255205290.2,267032,12054.38489,122687240.6,0
1.57E+12,21/09/2019,10167.92,10176.7,9900,9986.39,20544.1752,1.57E+12,206034034.5,245439,9285.851479,93152981.29,0
1.57E+12,22/09/2019,9985.15,10089,9853.97,10028.87,22049.27526,1.57E+12,220133631.6,253713,11200.61192,111864717.1,0
1.57E+12,23/09/2019,10028.05,10049.99,9615.77,9702.25,31937.23236,1.57E+12,314390584.6,332817,14940.1125,147108768.5,0
1.57E+12,24/09/2019,9702.2,9794.99,7800,8493.14,94007.3452,1.57E+12,838996309.2,748712,42986.25313,383608082.6,0
1.57E+12,25/09/2019,8497.55,8730,8215.64,8430.05,60783.89226,1.57E+12,512437200.4,544806,30489.47199,257118054.5,0
1.57E+12,26/09/2019,8430.05,8465.99,7750,8063.73,67930.85375,1.57E+12,552794530.9,522062,33363.51365,271728779.7,0
1.57E+12,27/09/2019,8063.49,8265,7852.15,8177.91,43882.92463,1.57E+12,352800745.2,369518,23224.86114,186790633,0
1.57E+12,28/09/2019,8177.47,8315,8001.09,8198.81,34473.60517,1.57E+12,280672404.7,319113,18215.03986,148326185.3,0
1.57E+12,29/09/2019,8199.38,8229.13,7890,8043.82,31544.21139,1.57E+12,253660600.3,322501,15507.40078,124764250.2,0
1.57E+12,30/09/2019,8043.04,8337.26,7710,8289.34,55865.48726,1.57E+12,449120676.8,455556,29052.01095,233783108.2,0
1.57E+12,01/10/2019,8289.97,8500,8173.05,8292.44,43479.58742,1.57E+12,363040860,387712,22520.1558,188075199,0
1.57E+12,02/10/2019,8292.67,8373.91,8151.22,8359.94,26243.38664,1.57E+12,216325351.9,261430,13652.36085,112568257.1,0
1.57E+12,03/10/2019,8360,8393,8060,8223.96,30488.28406,1.57E+12,250291751.3,281307,15321.40754,125826457.1,0
1.57E+12,04/10/2019,8224.43,8232.41,8005,8137.13,26476.3304,1.57E+12,215325611.7,259012,13236.81026,107708233.7,0
1.57E+12,05/10/2019,8137.09,8183.41,8012.98,8126.19,21907.61556,1.57E+12,177252877,237769,10620.06982,85943843.84,0
1.57E+12,06/10/2019,8127.55,8153.87,7785,7854.25,34676.10405,1.57E+12,275447898,325795,16437.31014,130619830.6,0
1.57E+12,07/10/2019,7855.3,8299.92,7762,8190.09,52202.0723,1.57E+12,420921679.8,482605,28088.6497,226592301.6,0
1.57E+12,08/10/2019,8190.82,8325,8088.75,8168.39,35452.65742,1.57E+12,290675248.1,395685,16893.73714,138551354.2,0
1.57E+12,09/10/2019,8170.79,8670,8115,8560.74,55038.70438,1.57E+12,462845251.8,537805,29211.87169,245678414.8,0
1.57E+12,10/10/2019,8562.15,8644,8414.52,8558.03,39137.94617,1.57E+12,333925412.3,406932,20587.71397,175682847.8,0
1.57E+12,11/10/2019,8557.82,8779.51,8212.38,8258.5,50405.28442,1.57E+12,424413201.5,471818,24618.01714,207347910,0
1.57E+12,12/10/2019,8257.95,8400,8250,8300.09,21339.3341,1.57E+12,177707852.6,280633,11644.42954,96979920.4,0
1.57E+12,13/10/2019,8301.98,8451.37,8160,8275.01,27840.73995,1.57E+12,232149438.4,320051,14035.91465,117101482.9,0
1.57E+12,14/10/2019,8275.24,8388.85,8203,8348.2,29810.66325,1.57E+12,247530733.2,345679,15273.00376,126831374.4,0
1.57E+12,15/10/2019,8346.86,8403,8090,8159.29,32773.06248,1.57E+12,270727559.8,399447,16822.94002,139031758.7,0
1.57E+12,16/10/2019,8159.3,8181.16,7917,7991.74,34733.59397,1.57E+12,279586845.5,421026,17198.82798,138510455.8,0
1.57E+12,17/10/2019,7995.02,8124.92,7929.03,8070.58,29656.94916,1.57E+12,238343204.5,356490,15922.04606,127960055,0
1.57E+12,18/10/2019,8070.71,8115,7816.01,7947.01,31353.18142,1.57E+12,248931322.1,399783,15692.63445,124639536.6,0
1.57E+12,19/10/2019,7946.89,8098.1,7866.92,7948.01,26627.88939,1.57E+12,211909734.1,349746,13886.83824,110541248.2,0
1.57E+12,20/10/2019,7949.87,8297,7870,8223.35,34286.45265,1.57E+12,275899861.7,396091,18042.42368,145235373.2,0
